Rhode Island,4,307486,199922,Biden,4,Align
Vermont,3,242820,112704,Biden,3,Align
Virginia,13,2413568,1971820,Biden,13,Align
Washington,12,2355312,1584771,Biden,12,Align
West Virginia,5,235984,545382,Trump,5,Align
Wisconsin,10,1630635,1616103,Biden,10,Align
Wyoming,3,73491,193559,Trump,3,Align
Washington D.C.,3,317323,12491,Biden,3,Align
State,EV,Biden,Trump,Winner,Winner_electoral_votes,AlignOrSplit
Alabama,9,849624,1441170,Trump,9,Align
Alaska,3,153778,189951,Trump,3,Align
Arizona,11,1672143,1661686,Biden,11,Align
Arkansas,6,423932,760647,Trump,6,Align
California,55,11110250,6006429,Biden,55,Align
Colorado,9,1804352,1364607,Biden,9,Align
Connecticut,7,1080831,715291,Biden,7,Align
Delaware,3,296268,200603,Biden,3,Align
Florida,29,5297045,5668731,Trump,29,Align
Georgia,16,2473633,2461854,Biden,16,Align
Hawaii,4,366130,196864,Biden,4,Align
Idaho,4,287021,554119,Trump,4,Align
Mississippi,6,539398,756764,Trump,6,Align
Missouri,10,1253014,1718736,Trump,10,Align
Montana,3,244786,343602,Trump,3,Align
Nebraska,5,374583,556846,Trump,3,Align
Nevada,6,703486,669890,Biden,6,Align
New Hampshire,4,424937,365654,Biden,4,Align
New Jersey,14,2637960,1853100,Biden,14,Align
New Mexico,5,501614,401894,Biden,5,Align
New York,29,5241688,3243635,Biden,29,Align
North Carolina,15,2684316,2758775,Trump,15,Align
North Dakota,3,114902,235595,Trump,3,Align
Ohio,18,2679163,3154834,Trump,18,Align
Oklahoma,7,503890,1020280,Trump,7,Align
Oregon,7,1341753,958448,Biden,7,Align
Pennsylvania,20,3458229,3378263,Biden,20,Align
Illinois,20,3488710,2425001,Biden,20,Align
Indiana,11,1242303,1729513,Trump,11,Align
Iowa,6,759061,897672,Trump,6,Align
Kansas,6,570323,771406,Trump,6,Align
Kentucky,8,772474,1326646,Trump,8,Align
Louisiana,8,856034,1255776,Trump,8,Align
Maine,4,435072,360737,NONE,-1,X
Maryland,10,1985023,976414,Biden,10,Align
Massachusetts,11,2382516,1167202,Biden,11,Align
Michigan,16,2804040,2649852,Biden,16,Align
Minnesota,10,1717077,1484065,Biden,10,Align
South Carolina,9,1091549,1385103,Trump,9,Align
South Dakota,3,150471,261043,Trump,3,Align
Tennessee,11,1140231,1852475,Trump,11,Align
Texas,38,5291535,5890347,Trump,38,Align
Utah,6,560282,865140,Trump,6,Align
